PLAYER,TEAM,AGE,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Denzel Valentine,CHI,24,10.3,16.2,63.4,1.5,3.7,41.1,1.5,3.9,39.6,2,4.4,46,3.8,9.5,40,3.6,10.4,34.6
Derrick Favors,UTA,26,9.4,15.5,60.7,2.3,5.6,40.4,2.1,5.1,40.4,2.2,5.5,39.4,3.3,8.1,40.1,3.1,8.5,36.1
Derrick Jones Jr.,MIA,21,4.7,8.9,53.1,1.2,3,38.9,1,1.9,51.4,1.2,2.6,44.7,1.1,3,37,1.4,4.4,32.1
Derrick Rose,MIN,29,7.9,12.6,62.7,1.1,3,36.5,1.5,3.1,49.3,1.6,3.2,49.4,2,4.7,42.7,2,5.6,35.8
Derrick Walton Jr.,MIA,23,3.1,5.5,56.6,0.8,2.4,32.4,0.5,1.3,38.9,0.3,1.1,31.3,0.9,1.9,46.4,2,4.7,42.7
Derrick White,SAS,23,3.3,5.3,62.4,0.4,1.5,23.8,0.7,1.7,40.9,0.6,1.9,33.3,0.8,2.8,28.2,0.9,3.6,25.9
Derrick Williams,LAL,27,0,1,0,1,3,33.3,2,2,100,0,0,0,0,1,0,0,1,0
Devin Booker,PHX,21,14,22.6,62,2.2,5.5,39.8,2.1,5.4,39.2,2.7,6,44.3,4.3,11.1,38.3,4.9,12.8,37.8
Devin Harris,DEN,35,6.7,10.6,63.6,1.1,3,37.4,1.3,3.1,40.5,1.4,3.7,36.6,2.6,6.8,38.9,2.1,5.8,36.1
Devin Robinson,WAS,23,2,3,66.7,1,2,50,0,1,0,1,5,20,0,3,0,2,3,66.7
Dewayne Dedmon,ATL,28,8.2,13.5,60.7,1.5,3.5,42.5,1.8,4.2,43.3,2.4,5,48.4,3.4,9,37.4,3.4,9.4,36.6
Deyonta Davis,MEM,21,5.9,9.5,62,0.9,2.4,38.8,1,2.3,42.2,1,2.1,46.3,1.8,4.6,39.6,1.8,5.9,30.3
Dillon Brooks,MEM,22,9.9,16,62,1.6,4.2,38,1.7,4.4,39,1.6,4.1,39.8,3.3,8,40.8,3.6,10.8,33.4
