PLAYER,TEAM,AGE,GP,MIN,SCREEN ASSISTS,DEFLECTIONS,LOOSE BALLS RECOVERED,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3 PT SHOTS,CONTESTED SHOTS
Cody Zeller,CHA,25,33,19,3.9,0.7,0.5,0.06,4.5,0.8,5.3
Cole Aldrich,MIN,29,21,2,0.3,0.4,0.1,0,0.3,0.2,0.6
Corey Brewer,OKC,32,72,17,0.1,1.8,0.9,0.15,2.2,2.3,4.5
Cory Joseph,IND,26,82,27,0.3,1.5,0.9,0.07,3,3.5,6.5
Courtney Lee,NYK,32,76,30,0.3,1.9,0.8,0.03,2.4,2.8,5.2
Cristiano Felicio,CHI,25,55,18,2.5,0.6,0.5,0,4.1,1.5,5.6
D'Angelo Russell,BKN,22,48,26,0.2,1.6,1,0,2.4,1.9,4.3
D.J. Augustin,ORL,30,75,23,0.3,0.9,0.8,0.11,1.4,1.4,2.8
D.J. Wilson,MIL,22,22,3,0.2,0.1,0,0,0.6,0.4,1.1
Dakari Johnson,OKC,22,31,5,0.7,0.4,0.1,0,1.4,0.6,2
Damian Jones,GSW,22,15,6,0.5,0.2,0.1,0,2.1,0.5,2.7
Damian Lillard,POR,27,73,37,0.2,1.8,1.7,0.11,2.8,1.9,4.7
Damien Wilkins,IND,38,19,8,0.1,0.2,0.1,0,0.7,0.7,1.4
Damion Lee,ATL,25,15,27,0,1.7,1.3,0,1.9,2.8,4.7
Damyean Dotson,NYK,24,44,11,0,0.3,0.4,0,0.8,1.1,1.9
Daniel Hamilton,OKC,22,6,5,0,0.2,0.2,0,0.3,0.5,0.8
Daniel Theis,BOS,26,63,15,1.8,0.9,0.5,0,5.1,1.3,6.4
