Player_Num,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
346,Ekpe Udoh,UTA,31,4,1,3,1.5,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0.3,0.3,0,1.8,0,0,-1
346,Danuel House,PHX,25,4,2,2,1.6,0.5,0,0.3,0,0,0,0,0.5,0.5,100,0,0.3,0.3,0,0.3,0,0,0,0.6,0,0,1.3
346,Malik Beasley,DEN,21,4,2,2,0.2,0.5,0,0,0,0,0,0,0.5,1,50,0,0,0,0,0,0,0,0,0.5,0,0,0.5
359,Kenneth Faried,DEN,28,3,1,2,2.5,0,0,0.3,0,0,0,0,0,0,0,0,0.7,0.7,0.3,0.3,0,0,0.3,1,1,0,-2.3
359,Patrick Beverley,LAC,29,3,1,2,4.2,0,0,1,0,0,0.3,0,0,0,0,0.3,0.7,1,0,0,1,0,0.7,4.2,0,0,-0.7
359,Tyler Cavanaugh,ATL,24,3,1,2,3.7,1,0.3,0.3,100,0.3,0.3,100,0,0,0,0.3,0,0.3,0.7,0,0,0,0,2.4,0,0,0.3
359,Guerschon Yabusele,BOS,22,3,2,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,-0.3,0,0,-1
359,Derrick Rose,MIN,29,3,1,2,2.1,0.7,0,0.3,0,0,0,0,0.7,0.7,100,0,0,0,0,0,0,0,0,0.7,0,0,0
359,Lucas Nogueira,TOR,25,3,1,2,0.7,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.4,0,0,-0.3
359,Meyers Leonard,POR,26,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7
359,Cheick Diallo,NOP,21,3,2,1,1.9,0.7,0.3,0.7,50,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.9,1,0,2.7
359,Damyean Dotson,NYK,24,3,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7
359,Joffrey Lauvergne,SAS,26,3,1,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,-2
359,Zach Collins,POR,20,3,2,1,2.7,1,0.3,0.3,100,0.3,0.3,100,0,0,0,0,0,0,0,0.3,0,1,0.3,3.7,0,0,3.3
